username,account_description,location,following,followers,total_tweets,total_retweets,user_created,tweet_created,text,hashtags
IcahnMountSinai,"An international leader in medical and scientific training, biomedical research, and patient care. It is the medical school for @MountSinaiNYC.","New York, New York",1290,16255,18045,0,2013-03-14 21:22:46,2020-03-11 17:35:03,.@MountSinaiNYC's new visitor policy states only two visitors are allowed per patient &amp; only one visitor per patient in the Emergency Department. Visit only if you are healthy: https://t.co/y8lZCe0Zpm #Coronavirus #COVID19 https://t.co/QHKseaWXKi,"[{'text': 'Coronavirus', 'indices': [205, 217]}, {'text': 'COVID19', 'indices': [218, 226]}]"
ShephaliBhatt,"Culture Reporter @EconomicTimes. Human interest features for Sunday edition on pop culture, internet subcultures, tech, media & entertainment. Views, personal",Mumbai,554,8489,9874,718,2009-06-29 20:24:36,2020-03-11 17:35:03,"""This is not just a public health crisis, it is a crisis that will touch every sector – so every sector and every individual must be involved in the fight""-@DrTedros #COVID19 #coronavirus",[]
IntegralEDI,"Since 1986, we have been helping North American companies adopt EDI into their day-to-day operations. 

#eCommerce #logistics #EDI #API

https://t.co/DSwCeRrHnk","Markham, Ontario",471,125,1740,0,2013-11-13 21:03:20,2020-03-11 17:35:03,"#Coronavirus shifts online shopping habits. #eCommerce 

https://t.co/eELVHjauQd https://t.co/wfFkfDCpMq","[{'text': 'Coronavirus', 'indices': [0, 12]}, {'text': 'eCommerce', 'indices': [44, 54]}]"
mkayg3,"wife, mother, nanna, nasty woman. architect of life #Resist #BlueWave",NY,5001,1561,92423,491,2010-08-04 19:52:17,2020-03-11 17:35:03,"""I have said from the beginning that countries must take a whole-of-government, whole-of-society approach, built around a comprehensive strategy to prevent infections, save lives and minimize impact""-@DrTedros #COVID19 #coronavirus",[]
Prostinator,"Nursing Science | Student Nurse | Philosophy Minor | Philanthropist | Justice, & Culture Certificate | UDUS 21 | UDUTH",Kumasi /Cotonou/Sokoto/Lagos,797,375,13595,822,2011-06-03 05:10:40,2020-03-11 17:35:03,"""In the past two weeks, the number of cases of #COVID19 outside 🇨🇳 has increased 13-fold &amp; the number of affected countries has tripled. 

There are now more than 118,000 cases in 114 countries, &amp; 4,291 people have lost their lives""-@DrTedros #coronavirus","[{'text': 'COVID19', 'indices': [56, 64]}]"
sidgliz,,,163,336,26085,4429,2018-06-30 01:13:19,2020-03-11 17:35:03,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [52, 64]}]"
thereginaldvs,Faith. Determination. Purpose.,"Jabriya, Kuwait ",1075,527,20781,1311,2009-08-02 12:30:02,2020-03-11 17:35:03,"""All countries must strike a fine balance between protecting health, minimizing economic &amp; social disruption &amp; respecting human rights""-@DrTedros #COVID19 #coronavirus",[]
LouisianaGov,56th Governor of the State of Louisiana.,"Louisiana, USA",5977,62591,6798,1,2010-07-14 00:32:49,2020-03-11 17:35:03,.⁦@LouisianaGov⁩ speaking to Rotary: ‘We all have to take #coronavirus serious’ #lagov #lalege https://t.co/rzWtKX4k8t,"[{'text': 'coronavirus', 'indices': [76, 88]}, {'text': 'lagov', 'indices': [98, 104]}, {'text': 'lalege', 'indices': [105, 112]}]"
ericneusen,proud father of three | engineer | problem solver | climate activist | doer,"Mequon, WI",484,58,1934,877,2014-10-24 23:15:48,2020-03-11 17:35:03,".@RepJeffries ""Donald Trump wants to lecture us when he spent the weekend at his Florida golf resort? Hanging out with the Billionaire Boys Club, in the midst of a global epidemic.""

🚨Trump REFUSES to test for #coronavirus although he was exposed to it. 

https://t.co/voAlgApTmY",[]
anouart2,"Oui je fais 1m96. LEA (anglais/espagnol/japonais)
https://t.co/7PG5VcFmhZ","Metz, France",1839,1591,12981,1441,2019-08-15 19:45:48,2020-03-11 17:35:03,"""If countries detect, test, treat, isolate, trace, and mobilize their people in the response, those with a handful of #COVID19 cases can prevent those cases becoming clusters, and those clusters becoming community transmission""-@DrTedros #coronavirus","[{'text': 'COVID19', 'indices': [127, 135]}]"
Fanua,"Cosmopolite. RE: news worldwide, world music, international sports, musings. Polynesian 🐢♒🎶
Diversity in journalism matters.
#RISE 🌏🌎🌍 #RESIST #PERSIST",Oceania / USA ✈ Turtle Island ,2078,1168,115383,1576,2008-11-12 17:34:37,2020-03-11 17:35:03,"""81 countries have not reported any #COVID19 cases, and 57 countries have reported 10 cases or less.

We cannot say this loudly enough, or clearly enough, or often enough: all countries can still change the course of this pandemic""-@DrTedros #coronavirus","[{'text': 'COVID19', 'indices': [45, 53]}]"
loveisbrilliant,#JC4PM2019 #MMT Money is a social convention here to make life easier #BuildingTheFloor for Democracy,,6352,5813,195713,1286,2017-01-20 22:15:28,2020-03-11 17:35:03,Here are some of the steps that need to be taken ASAP to slow the spread of the #Coronavirus and protect the health and wellbeing of the American people. #COVID19 https://t.co/riX2RAVkJ2,"[{'text': 'Coronavirus', 'indices': [98, 110]}]"
Wil_Johnson1,"Christian Conservative Independent Vet. proudly supporting our US Military/Vets, Border Patrol, Police. Stay Informed or get hit by Drive-By Media #MAGA #2A NRA",Puget Sound,7646,7702,243123,1996,2011-09-13 21:36:35,2020-03-11 17:35:03,"In #Italy we made a terrible mistake

Everybody kept saying ""It's just a flu"" and now our intensive care units are collapsing. Our grandparents and parents, our friends, are dying

Please, learn the lesson. Now!

#coronavirus #CoronavirusOutbreak #italylockdown #italystaystrong","[{'text': 'Italy', 'indices': [24, 30]}]"
Hjemmefronten16,"A hard, hard rain is gonna fall.","Inside Your Head, Rent Free",499,501,47647,5,2016-01-13 00:37:44,2020-03-11 17:35:03,But @GovInslee noted that children potentially could transmit #coronavirus. He’s asking “our school district leaders to bend to this task of figuring out what we can do” in the event of school closures over the next several days. Mentions school meals specifically #WAedu #COVID19 https://t.co/FLEnc2ki8v,"[{'text': 'coronavirus', 'indices': [79, 91]}]"
LuisCDGMX14,Chivas. ❤💙,,67,91,1165,31103,2017-06-09 19:18:38,2020-03-11 17:35:03,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A","[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'coronavirus', 'indices': [122, 134]}]"
steve_hallinan,Dad @ SAP CX,London,275,83,855,0,2010-07-17 17:20:38,2020-03-11 17:35:03,Wow everyone that you meet that is a bit sick knows they don’t have the #coronavirus,"[{'text': 'coronavirus', 'indices': [72, 84]}]"
feresht02376199,,,1603,1865,138843,134,2013-05-24 18:48:02,2020-03-11 17:35:03,"I urge the UN Security Council, the UN Secretary General, the UN #HumanRights Council, and the UN High Commissioner for Human Rights to condemn the clerical regime for its continued criminal cover-up of the spread of #Coronavirus #CoronaOutbreak #Iran #COVID19 https://t.co/qVmOpViIGg","[{'text': 'HumanRights', 'indices': [84, 96]}]"
usmccarterswife,🇺🇸Autism🇺🇸Marine Corps 🇺🇸SpecialNeeds🇺🇸Seizures🇺🇸Smile🤪Love❤Laugh😂Dog Lover 🐕‍🐩🐕‍🦮,USA,3082,3018,250964,0,2009-06-17 22:42:28,2020-03-11 17:35:03,"Wonder if this works in #coronavirus 
The Virus Eliminating Rechargeable Personal Air Purifier - This is the rechargeable wearable air purifier that eliminates airborne germs from one's personal space - https://t.co/X6HTIh8fyQ","[{'text': 'coronavirus', 'indices': [24, 36]}]"
KainYusanagi,"Nerd, Gamer, Amateur English Orthographist, 'Dev Consultant', Cook. NSFW. Replies will be frank/blunt. Won't dance around sensitive issues.",I don't tolerate intellectual dishonesty. Email:Kainyusanagi@gmail.com Discord:Kain Yusanagi#2908,1037,2028,216496,569,2014-01-22 19:28:40,2020-03-11 17:35:03,"It appears #China bullied a U.S. university, Johns Hopkins, into changing their #Coronavirus interactive map.

On 2/11/20 JHU had #Taiwan accurately as a country

Today, one month later,they have Taiwan listed as part of China under “Taipei and environs""
H/T Axios https://t.co/BJOrcSFUub","[{'text': 'China', 'indices': [27, 33]}, {'text': 'Coronavirus', 'indices': [96, 108]}]"
shery_luna,I CAN watch me do EXPLOITS,People's Republic of China,123,39,22,14,2015-11-06 09:22:15,2020-03-11 17:35:03,Research teams from USTC cooperatively discovered that Tocilizumab is an effective treatment in severe patients of COVID-19. This therapy has already been confirmed successfully not only in China but also in Italy. @NIH @CDC #coronavirus #COVID19 #CoronavirusOutbreak #Tocilizumab https://t.co/DLgoC6mVsm,[]
BizPartnerMag,A digital magazine that provides the tips and strategies that #smallbusiness owners need to succeed. #BusinessTips #SME,"Watford, Hertfordshire, UK",3983,4114,15182,0,2014-10-16 07:49:32,2020-03-11 17:35:03,The #Coronavirus Impact on the #UKTravelIndustry: 5 #Marketing Actions to Take Now - https://t.co/mR7jKQiBPW #UKTravel,"[{'text': 'Coronavirus', 'indices': [4, 16]}, {'text': 'UKTravelIndustry', 'indices': [31, 48]}, {'text': 'Marketing', 'indices': [52, 62]}, {'text': 'UKTravel', 'indices': [109, 118]}]"
notPeterWood,"Former graveyard keeper, current researcher on Latin American urban geopolitics",,656,256,4631,1110,2017-04-12 18:25:50,2020-03-11 17:35:03,Dear Parents of college students: A lot of campuses are closing with #coronavirus and most will be closed in 2-3 weeks. Please consider opening your homes and hearts to your children’s overseas friends who cannot afford to travel or take the risk with their visas. Thank you ♥️,"[{'text': 'coronavirus', 'indices': [88, 100]}]"
JathigalIllai,Tweets are personal! U get what U give! I Am Beef Eating HUMAN and if that makes me AntiNationalist then ---- ---,,181,632,92869,5,2013-02-26 22:11:12,2020-03-11 17:35:03,Here you go - Now China says US is exporting #coronavirus to China! https://t.co/yCwf6kdH7R,"[{'text': 'coronavirus', 'indices': [59, 71]}]"
MaloneComedy,Award-Winning Comedian/Director/Actor|Comedy Central|FOX|Showtime|UCB|Watch my one hour special on Amazon -- https://t.co/F69EgGhS5A,"Los Angeles, CA",4403,7145,40345,0,2009-03-04 21:22:46,2020-03-11 17:35:03,"Before the #coronavirus, men would only wash their hands after they killed their wife.","[{'text': 'coronavirus', 'indices': [11, 23]}]"
