Representations,Classifiers,Additional Tweaks,Team Member,Tested (Yes/No),Accuracy,AUC SCORE,Notes,Recreate/Modify Table
Term Frequency–Inverse Document Frequency (TF-IDF),Logistic Regression (Elastic Net),Scaling,Eleftheria,Yes,0.9153,0.9702,"Parameters = {C = 1, l1_ration = 0.2, penalty = ""elasticnet"", max_iter = 1000, multi_class = ""ovr"", solver = ""saga""}",
Term Frequency–Inverse Document Frequency (TF-IDF),Logistic Regression (Elastic Net),No Scaling,Eleftheria,Yes,0.9134,0.9686,"Parameters = {C = 1, l1_ration = 0.2, penalty = ""elasticnet"", max_iter = 1000, multi_class = ""ovr"", solver = ""saga""}",
Bag-of-Words,Light Gradient Boosting (LGB),Scaling,Iason,YES,0.905053,0.967843,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}",
Bag-of-Words (bigrams),Light Gradient Boosting (LGB),Scaling,Iason,YES,0.905053,0.967843,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}",
Bag-of-Words - Frequencies,Light Gradient Boosting (LGB),Scaling,Iason,YES,0.903942,0.967674,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}",
Term Frequency–Inverse Document Frequency (TF-IDF),Light Gradient Boosting (LGB),Scaling,Iason,YES,0.900056,0.964683,"{""colsample_bytree"": 0.867644982995511, ""min_child_samples"": 13, ""min_child_weight"": 0.001, ""num_leaves"": 34, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.32039082282251635}",
Bag-of-Words,Cat Boosting (CB),Scaling,Iason,YES,0.913104,0.971762,"{""border_count"": 200, ""depth"": 6, ""l2_leaf_reg"": 10, ""learning_rate"": 0.3, ""n_estimators"": 1000}",
Bag-of-Words (bigrams),Cat Boosting (CB),Scaling,Iason,YES,0.913104,0.971762,"{""border_count"": 200, ""depth"": 6, ""l2_leaf_reg"": 10, ""learning_rate"": 0.3, ""n_estimators"": 1000}",
Bag-of-Words - Frequencies,Cat Boosting (CB),Scaling,Iason,YES,0.913104,0.969889,"{""border_count"": 200, ""depth"": 6, ""l2_leaf_reg"": 10, ""learning_rate"": 0.3, ""n_estimators"": 1000}",
Term Frequency–Inverse Document Frequency (TF-IDF),Cat Boosting (CB),Scaling,Iason,YES,0.905886,0.964383,"{""border_count"": 5, ""depth"": 9, ""l2_leaf_reg"": 5, ""learning_rate"": 0.1, ""n_estimators"": 500}",
Bag-of-Words,Gradient Boosting (GB),Scaling,Iason,YES,0.900056,0.964638,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Bag-of-Words,Gradient Boosting (GB),No Scaling,Iason,YES,0.900056,0.964638,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Bag-of-Words (bigrams),Gradient Boosting (GB),Scaling,Iason,YES,0.905886,0.967288,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Bag-of-Words (bigrams),Gradient Boosting (GB),No Scaling,Iason,YES,0.900056,0.964638,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Bag-of-Words - Frequencies,Gradient Boosting (GB),Scaling,Iason,YES,0.900611,0.963153,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Bag-of-Words - Frequencies,Gradient Boosting (GB),No Scaling,Iason,YES,0.900611,0.963153,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Term Frequency–Inverse Document Frequency (TF-IDF),Gradient Boosting (GB),Scaling,Iason,YES,,0.958599,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
Term Frequency–Inverse Document Frequency (TF-IDF),Gradient Boosting (GB),No Scaling,Iason,YES,0.891449,0.958599,"{""learning_rate"": 0.3, ""loss"": ""exponential"", ""max_depth"": 15, ""max_features"": ""sqrt"", ""subsample"": 0.9105364527646858}",
