,username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
59,WWF Climate & Energy,climateWWF,2019-05-15 10:31,7,12,"The world can meet # climate and energy goals with # renewables and without damming world’s remaining free flowing rivers, says @ WWF's @ PavanSukhdev http://ow.ly/e4kZ50ucjwn @ manupulgarvidal @ WWFLeadWaterpic.twitter.com/C7t0iEkjEc",,@ @ @ @,# #,1128563467835850753,https://twitter.com/climateWWF/status/1128563467835850753
60,WWF Climate & Energy,climateWWF,2019-05-13 18:06,11,13,Every commitment is needed to fulfil the pledges made in Paris. Now countries must # StepUp their climate action. Germany should lead efforts to revive international climate action # PetersbergDialogue @ manupulgarvidal @ WWF @ KlimaWWFhttp://ow.ly/wIEU50u9JWm,,@ @ @,# #,1127953310915407873,https://twitter.com/climateWWF/status/1127953310915407873
61,WWF Climate & Energy,climateWWF,2019-05-13 12:11,6,10,New @ WWF @ nature_org report shows we can meet global climate + energy goals without sacrificing world’s remaining free flowing rivers http://ow.ly/gYLl50u97jY @ manupulgarvidal @ Stuart_Orr @ WWFLeadWaterpic.twitter.com/KwS3VNqUtg,,@ @ @ @ @,,1127863996055527424,https://twitter.com/climateWWF/status/1127863996055527424
62,WWF Climate & Energy,climateWWF,2019-05-08 08:28,69,161,". # IPBES7 # GlobalAssessment says natural ecosystems are key to tackling climate change. That’s why we need protection of the environment to be taken to a new level of political priority globally, says @ WWF’s @ manupulgarvidal # NewDealForNature http://ow.ly/LA7c30oFFeS pic.twitter.com/hIUiMsxyBy",,@ @,# # #,1125995959589253121,https://twitter.com/climateWWF/status/1125995959589253121
63,WWF Climate & Energy,climateWWF,2019-05-08 07:54,8,9,". # G7Environment Ministers get climate change into final communique, but miss the mark in making no mention of how they will increase climate ambition + improve NDCs says @ WWF’s @ FernandaVdeC http://ow.ly/mFlQ30oFELN pic.twitter.com/KvMSk3akuT",,@ @,#,1125987296325578753,https://twitter.com/climateWWF/status/1125987296325578753
64,WWF Climate & Energy,climateWWF,2019-05-06 15:22,15,23,The @ IPBES # GlobalAssessment report clarifies that # climate change is both key driver of + a growing threat to biodiversity degradation. We must urgently prioritise our planet’s well-being @ Manupulgarvidal @ WWF # NewDealForNature and peoplepic.twitter.com/diliMgCzbv,,@ @ @,# # #,1125375165016285184,https://twitter.com/climateWWF/status/1125375165016285184
65,WWF Climate & Energy,climateWWF,2019-05-06 15:17,7,11,"Wherever we look, nature’s warning signs are flashing red. We are facing a climate + environmental crisis. The link between a stable climate system + the protection of biodiversity is unequivocal @ IPBES # GlobalAssessment @ manupulgarvidal @ WWF http://ow.ly/uIat30oEgjT pic.twitter.com/0ZP9IPdA4Q",,@ @ @,#,1125373959250358273,https://twitter.com/climateWWF/status/1125373959250358273
66,WWF Climate & Energy,climateWWF,2019-04-03 11:20,14,20,"Along with 50+ other organisations and experts, we are calling on the IEA to align its energy scenarios with # climate science and the # ParisAgreement. There’s too much at stake to continue on a high-carbon pathway @ manupulgarvidal @ WWF https://on.ft.com/2I3OLo1 pic.twitter.com/34dTCgr7b9",,@ @,# #,1113355490845691905,https://twitter.com/climateWWF/status/1113355490845691905
67,WWF Climate & Energy,climateWWF,2019-03-27 20:26,6,9,We need an emergency package of actions to drive ambition for climate action says @ WWF’s @ manupulgarvidal http://ow.ly/ZXpp30odwl2 pic.twitter.com/8HtQilklnk,,@ @,,1110971416386682881,https://twitter.com/climateWWF/status/1110971416386682881
68,WWF Climate & Energy,climateWWF,2019-03-20 11:38,4,10,Voices on the streetes - why youth climate marches matter @ manupulgarvidal http://ow.ly/5Jrn30o7g8b pic.twitter.com/usurXO96HW,,@,,1108301710441791489,https://twitter.com/climateWWF/status/1108301710441791489
69,WWF Climate & Energy,climateWWF,2019-01-23 22:17,7,18,We have just 12 years left to avoid a # climate catastrophe. But there’s still hope. Add your # voicefortheplanet and join the movement calling for a # NewDealForNature today http://www.voicefortheplanet.org,,,# # #,1088168862485495811,https://twitter.com/climateWWF/status/1088168862485495811
70,WWF Climate & Energy,climateWWF,2018-12-15 22:40,161,268,# BreakingNews: # UN # climate talks # cop24 deliver progress but countries must step up on ambition in the face of # climate emergency. # ClimateChange,,,# # # # # #,1074041404924383232,https://twitter.com/climateWWF/status/1074041404924383232
71,WWF Climate & Energy,climateWWF,2018-12-14 15:42,4,9,". @ JPvanYpersele, former @ IPCC_CH vice-chair writes a touching letter to his # grandkidsWe must act now for our # climate. There's no more time left to waste. # cop24https://twitter.com/JPvanYpersele/status/1073265034283925505 …",,@ @,# # #,1073573987861581825,https://twitter.com/climateWWF/status/1073573987861581825
72,WWF Climate & Energy,climateWWF,2018-12-13 22:11,465,609,"The stakes are high @ UN # climate talks # cop24. The world needs nations to raise their # ParisAgreement targets before 2020! As your leader decides YOUR future now @ cop24, urge them to commit to greater # ClimateAction. RT & tag them # 24hoursforCOP24 # climatechangepic.twitter.com/LzWMQeTaUA",,@ @,# # # # # #,1073309374582530048,https://twitter.com/climateWWF/status/1073309374582530048
73,WWF Climate & Energy,climateWWF,2018-12-13 13:19,22,34,"# WWF joins @ UN SG @ antonioguterres, # Talanoa Call for Action, High Ambition Coalition, # Climate Vulnerable Forum, UN organizations, non-state actors & all those who marched around the world in their call to countries to deliver at # COP24. http://panda.org/cop24 # wwfclimatepic.twitter.com/6TLisrN8YM",,@ @,# # # # #,1073175584438669312,https://twitter.com/climateWWF/status/1073175584438669312
