date,time,username,name,tweet,replies_count,retweets_count,likes_count,keyword,Label
2019-12-07,11:47:05,jrockstrom,Johan Rockström,".
Summarizing a dark climate year 2019. All you need to know of the last years scientific advances. “10 New Insights in Climate Science” 2019 to Patricia Espinosa and all climate negotiator @COP25CL #EarthStatement #ClimateAction #COP25 @TheEarthLeague https://futureearth.org/publications/science-insights/10-new-insights-in-climate-science-2019/ …",8,133,190,climate,0
2019-12-05,20:10:05,jrockstrom,Johan Rockström,"Climate Change Is Accelerating, Bringing World ‘Dangerously Close’ to Irreversible Change  https://nyti.ms/2reaFi7 ",81,1323,2811,climate,0
2019-12-04,16:18:54,jrockstrom,Johan Rockström,Online right now with Chris Anderson Christiana Figueres and vast network TED Countdown launch for climate solutions  https://countdown.ted.com/ ,0,3,11,climate,0
2019-11-10,19:51:05,jrockstrom,Johan Rockström,Here is the real reason for deep concern. 75 % of all country climate pledges (NDC) are insufficient to meet Paris requirement of cutting emissions by 50 % 2020-2030. We are moving towards very dangerous Risk Landscape  https://feu-us.org/behind-the-climate-pledges/ …,12,238,296,climate,0
2019-10-25,12:07:49,jrockstrom,Johan Rockström,Exxon has misled Americans on climate change for decades. Here’s how to fight back  https://www.theguardian.com/commentisfree/2019/oct/23/exxon-climate-change-fossil-fuels-disinformation …,3,81,167,climate,0
2019-09-27,01:45:10,jrockstrom,Johan Rockström,The most important scientific summary of the state of our climate  https://twitter.com/antonioguterres/status/1175948803427459073 …,11,184,260,climate,0
2019-09-21,11:22:27,jrockstrom,Johan Rockström,"Probably the single largest demonstration in World History. Across the globe, millions join biggest climate protest ever. Cannot be ignored. Can be a tipping point  https://www.theguardian.com/environment/2019/sep/21/across-the-globe-millions-join-biggest-climate-protest-ever …",189,3709,15172,climate,0
2019-09-18,20:12:16,jrockstrom,Johan Rockström,"International Scientists, through @TheEarthLeague provide Scientific weight behind @Fridays4future and the global march on 20th September as start of UN Climate Summit
 https://www.the-earth-league.org/imperia/md/assets/earthleague/earth_league_statement_18.09.2019.pdf …",2,40,84,climate,0
2019-09-06,09:12:00,jrockstrom,Johan Rockström,"A real deep tragedy. The world loses one of the most important economist of modern times. Martin Weitzman, Virtuoso Climate Change Economist, Dies at 77  https://nyti.ms/34oxPRS ",0,6,34,climate,0
2019-08-26,07:00:44,jrockstrom,Johan Rockström,"Rainforest urgently needs to be given the value it deserves for Planet stability and long term economic development - key contribution by Johan Eliasch, former Downing Street advisor on forests and climate  https://www.telegraph.co.uk/news/2019/08/25/will-never-save-rainforest-living-tree-worth-brazil-incinerated/?WT.mc_id=tmg_share_tw … via @telegraphnews",2,81,190,climate,0
2019-08-14,09:43:58,jrockstrom,Johan Rockström,"Jacinda Ardern says Australia has to 'answer to Pacific' on climate change. In fact, Australia must answer to the world. Just like the US, Germany, Russia and the other big Coal consumers who contribute to destroy the Planet for all of us  https://www.theguardian.com/australia-news/2019/aug/14/jacinda-ardern-says-australia-has-to-answer-to-pacific-on-climate-change?CMP=share_btn_tw …",8,141,357,climate,0
2019-08-09,11:58:03,jrockstrom,Johan Rockström,Now is the time for some true EU leadership. The Case for an EU Climate and Nature Czar @ProSyn https://prosyn.org/PcRKDmU ,3,18,55,climate,0
2019-08-05,09:56:46,jrockstrom,Johan Rockström,"Trump's biggest mistake? Underestimating that 60 % of Republicans between 23 and 38 say that climate change is hitting the US, and 36 % that it's caused by us. Could be a killing factor in 2020 elections. Not least as renewables create new jobs, not coal.
 https://www.nytimes.com/2019/08/02/climate/climate-change-republicans.html …",1,42,141,climate,0
2019-07-08,20:37:20,jrockstrom,Johan Rockström,"Incredibly important, following UK and Ireland, Sanders and Ocasio-Cortez move to declare climate crisis official emergency  https://www.theguardian.com/environment/2019/jul/08/climate-crisis-sanders-ocasio-cortez-emergency?CMP=share_btn_tw …",2,49,151,climate,0
2019-07-05,18:59:42,jrockstrom,Johan Rockström,"Tree planting good but not global climate solution. Trees capture Green carbon, while fossil-fuels add Black carbon.  https://www.theguardian.com/environment/2019/jul/04/planting-billions-trees-best-tackle-climate-crisis-scientists-canopy-emissions?CMP=share_btn_tw …",5,47,109,climate,0
2019-06-25,21:42:01,jrockstrom,Johan Rockström,"When G20 Leaders meet in Osaka they must put global Climate crisis at the top of their Agenda, and embark on exponential roadmaps transforming economies to cut global emissions by half over coming 10 years. A great Must and a great Win for Humanity @ProSyn http://prosyn.org/nJaZx11 ",1,45,70,climate,0
2019-06-18,14:10:11,jrockstrom,Johan Rockström,"It’s time to activate solutions to the #climatecrisis 🌎
Join the Climate Solutions Summit 2019 online, June 27 - 30 💡🌳
Sign up free ->  https://climatesolutionssummit.com/partner/joro 
#CSS2019 @KampSolutions",2,11,28,climate,0
2019-06-04,14:12:22,jrockstrom,Johan Rockström,Klimaschutz requires integrated policythinking - Targets must be matched by Carbon price @PIK_Climate  https://spon.de/afuHI  @SPIEGELONLINE,6,6,10,climate,0
2019-06-04,09:28:29,jrockstrom,Johan Rockström,We do not have time for pleasantry. Good to be in Europe for Berlin Climate and Security Conf for Action @JohnKerry pic.twitter.com/n4kOlpHoKo,0,9,29,climate,0
2019-05-26,07:35:46,jrockstrom,Johan Rockström,Viktig förskjutning o självkritik på media o vetenskap. Jag håller med @PeterAlestig Kom ihåg att det var förnekelse i USA som orsakade förändring fr Global Warming till Climate Change. Helt felaktigt o ngt vi forskare får ta ansvar för.  pic.twitter.com/GxfUDzdwKe,6,35,121,climate,0
2019-04-26,08:40:13,jrockstrom,Johan Rockström,Water & climate change a deep threat in rapidly growing tropical dev countries but also in richer temperate regions  https://www.economist.com/special-report/2019/02/28/climate-change-and-population-growth-are-making-the-worlds-water-woes-more-urgent?fsrc=scn/tw/te/bl/ed/auto …,2,54,77,climate,0
2019-04-17,19:19:17,jrockstrom,Johan Rockström,Satellite images show how global warming hits Europe with amplified climate extremes causing social-ecological mess  https://www.bloomberg.com/news/features/2019-04-09/new-satellite-photos-show-europe-s-changing-climate …,3,183,250,climate,0
2019-03-29,19:18:04,jrockstrom,Johan Rockström,Greta Thunberg and Luise Neumann digging deep into @PIK_Climate science after #FridaysForFutures demos in Berlin today @GretaThunberg pic.twitter.com/vp3NA3wUl9,9,48,303,climate,0
2019-03-21,07:56:26,jrockstrom,Johan Rockström,"Food insecurity rising again in world, due to climate extremes, after years of improving. Anger, not shock, needed  https://amp.theguardian.com/environment/2019/mar/20/tim-flannery-people-are-shocked-about-climate-change-but-they-should-be-angry?CMP=Share_iOSApp_Other&__twitter_impression=true …",3,59,97,climate,0
2019-02-19,06:45:05,jrockstrom,Johan Rockström,12 ways the tech sector can help save the climate in 12 years  https://www.weforum.org/agenda/2019/02/12-big-ideas-for-how-the-tech-sector-can-help-save-the-climate/ … via @wef,1,23,43,climate,0
2019-01-16,21:15:44,jrockstrom,Johan Rockström,"2nd Year in a row that Extreme Weather Events, Failure of Climate Change mitigation and adaptation, and Natural Disasters, are among the Top Five Global Risks. Time to Act as a World Community  http://www3.weforum.org/docs/WEF_Global_Risks_Report_2019.pdf …",7,96,146,climate,0
2018-12-23,08:05:27,jrockstrom,Johan Rockström,"Katowice, in the maelstrom of opposing forces, was a major proof that the world has turned a corner. The world understands. The global climate crisis is real. Climate negotiators have read the science and know the truth. Now, time to get the work done  https://twitter.us19.list-manage.com/track/click?u=50ec04f7fdd8f247aecfa0ddf&id=a58d3dd894&e=d1f22c90ec …",6,166,387,climate,0
2018-12-10,15:17:20,jrockstrom,Johan Rockström,"10 Must Knows in Climate Science - the 2018 summary of key insights, released today in Katowice. A scientific contribution by @FutureEarth and @TheEarthLeague to Patricia Espinosa and the @UNFCCC  https://www.hzg.de/ms/earthleague/078898/index.php.en …",3,86,119,climate,0
2018-12-09,21:08:56,jrockstrom,Johan Rockström,".@IPCC_CH 1.5C assessment is most important climate report of 21st century. Yet 4 nations refuse to “welcome” this reality. This is willfully ignorant and grossly negligent. Ministers at #cop24 please embrace science, not deny it. Press conf 10 dec @UNFCCC https://www.bbc.com/news/science-environment-46496967 …",16,375,537,climate,0
2018-12-03,21:32:43,jrockstrom,Johan Rockström,Great Special issue of Der SPIEGEL featuring @PIK_Climate on sea level rise and carbon price. Critical understanding of rapidly rising global risks and pathways to rapid solutions #COP24 pic.twitter.com/ts1RIjVdlA,2,30,62,climate,0
2018-11-25,12:43:23,jrockstrom,Johan Rockström,Science continues to collide with Trump - U.S. Climate Report Warns of Damaged Environment and Shrinking Economy   https://nyti.ms/2zmesuU ,3,16,38,climate,0
2018-10-30,13:34:59,jrockstrom,Johan Rockström,"As if Risks of Climate Disaster was not enough. Here is the true Drama. A real risk of fundamentally eroding biological resilience on Earth threatening our future as a Species Humanity has wiped out 60% of animal populations since 1970, report finds  https://www.theguardian.com/environment/2018/oct/30/humanity-wiped-out-animals-since-1970-major-report-finds?CMP=share_btn_tw …",9,134,139,climate,0
2018-10-30,07:40:04,jrockstrom,Johan Rockström,60 % of vertebrates lost over the past 40 years. A 6th Mass Extinction in the making. Undermining our chance of prosperity on a stable planet. Saving Biodiversity and a Stable Climate Humanity's Task No 1  https://www.worldwildlife.org/pages/living-planet-report-2018 …,6,246,282,climate,0
2018-10-27,00:55:22,jrockstrom,Johan Rockström,"Turn your back on climate action, and lose out on future prosperity -interview with Peter Bakker  https://www.abc.net.au/news/programs/the-business/2018-10-26/extended-interview-with-peter-bakker/10435446 …",2,18,33,climate,0
2018-10-18,01:56:28,jrockstrom,Johan Rockström,"Paul Krugman hits the nail on climate denialism, a cockroach behavior that selfishly puts humanity at risk  https://nyti.ms/2Ac8v4s ",3,72,118,climate,0
2018-10-11,08:01:09,jrockstrom,Johan Rockström,"IPCC 1.5 C report clear. 1.5 is our climate planetary boundary. To reach it IPCC adopts Global Carbon Law. We need to cut emissions by half by 2030, which is possible as we show in  http://www.exponentialroadmap.org  @owengaffney @JohanFalk @CFigueres #GCAS2018",13,146,210,climate,0
2018-09-14,02:47:00,jrockstrom,Johan Rockström,"Governor Jerry Brown of California at the Global Climate Action Summit on President Trump's decision to allow more methane emissions from fracking ""he will go down in history as either liar, criminal or fool, take your pick""...",4,48,162,climate,0
2018-09-11,19:31:55,jrockstrom,Johan Rockström,Global Climate Action Summit in San Francisco gathers momentum for virtuous cycle with aim of making decarbonization unstoppable  https://apnews.com/f17984e6f77c441db73d6a14a863eae4 …,0,47,111,climate,0
2018-08-18,10:44:00,jrockstrom,Johan Rockström,"World is finally waking up to climate change, says 'hothouse Earth' author  https://www.theguardian.com/environment/2018/aug/17/world-waking-up-to-reality-climate-change-hothouse-earth-author?CMP=share_btn_tw …",7,201,332,climate,0
2018-07-30,14:26:13,jrockstrom,Johan Rockström,"Rivers in the Sky. Why water is a planetary boundary, interacting closely with land and biodiversity to regulate our climate and ultimately, the state of the planet  https://e360.yale.edu/features/how-deforestation-affecting-global-water-cycles-climate-change …",2,80,105,climate,0
2018-04-06,08:30:09,jrockstrom,Johan Rockström,"I am excited to announce that @DeonNelWWF , currently the Global Conservation Director at @WWF  ​will be the new head of @grp_resilience . Mr Nel will bring experience, an impressive network & his commitment to #resilience to the role -  http://ow.ly/g5TK30jl16J  #globaldev #climate  pic.twitter.com/1I6RLuhYxv",3,17,64,climate,0
2018-03-22,07:24:05,jrockstrom,Johan Rockström,"High risk of social disruptions as sub-Saharan Africa, Latin America and South Asia faces 140 million internal climate migrants by 2050. Most comprehensive study so far raises urgent need for climate resilience building   https://openknowledge.worldbank.org/handle/10986/29461 …",1,63,40,climate,0
2018-02-23,12:40:53,jrockstrom,Johan Rockström,"After 12 yrs as director of @sthlmresilience time is right to hand over leadership. I will, at the end of 2018 become joint director of @PIK_Climate but continue to work closely with @sthlmresilience. Looking forward to strengthen the close collaboration:  http://ow.ly/jNMa30izrUo ",35,75,370,climate,0
2018-02-01,06:25:39,jrockstrom,Johan Rockström,Can the 'global carbon law' - merging science with Moore’s Law - help businesses save the climate?  http://p.dw.com/p/2rTnN?tw ,2,12,9,climate,0
2018-01-15,12:36:59,jrockstrom,Johan Rockström,UN clear - there is a global climate tipping point and we may be approaching it.  Decarb now for manageable future  https://sc.mp/2AWcNd8 ,1,74,71,climate,0
2018-01-10,07:15:00,jrockstrom,Johan Rockström,America in deep freeze as Australia fries - This is exactly what to expect as Human caused Global Warming triggers Climate Change -   https://www.ft.com/content/18c48a3a-f3d1-11e7-88f7-5465a6ce1a00 … via @financialtimes,13,456,342,climate,0
2017-12-20,18:19:14,jrockstrom,Johan Rockström,"This so provocative, irresponsible, & destructive. But a reality. Top 10 Climate Deniers in the Trump Administration  https://www.ecowatch.com/climate-deniers-in-trump-administration-2518894384.html …",3,39,39,climate,0
2017-12-12,06:38:24,jrockstrom,Johan Rockström,Hope inspire more action on climate change than fear? We don’t know. My view? We need both & all cards on the table  https://www.vox.com/energy-and-environment/2017/12/5/16732772/emotion-climate-change-communication …,10,63,103,climate,0
2017-11-18,21:13:49,jrockstrom,Johan Rockström,Best summary of Bonn Climate Talks. Stakes Get Higher in Gamble on Planet’s Future  https://nyti.ms/2hKMBPv ,0,48,63,climate,0
2017-11-14,15:22:07,jrockstrom,Johan Rockström,"We are not waiting for Washington - US States, Cities and Businesses stay committed to Paris Climate Agreement  https://nyti.ms/2jpmyxw ",1,30,73,climate,0
2017-11-13,14:31:09,jrockstrom,Johan Rockström,"Released today: ""The 10 Science Must-Knows on Climate Change"" prepared for #COP23 by @TheEarthLeague & @FutureEarth  http://www.stockholmresilience.org/research/research-news/2017-11-13-the-10-science-must-knows-on-climate-change.html …",2,111,97,climate,0
2017-11-08,18:44:39,jrockstrom,Johan Rockström,Trump just lost his last climate-buddy. Baschar Al-Assad just joined the Paris Climate Agreement  https://www.google.se/amp/s/amp.cnn.com/cnn/2017/11/07/politics/syria-paris-climate-agreement/index.html …,2,43,114,climate,0
2017-10-27,08:00:12,jrockstrom,Johan Rockström,6 milestones for 6 sectors in 3 years to safeguard our climate! Read about them from the experts:  http://ow.ly/PNG230fXlJS  @jrockstrom pic.twitter.com/nIvXIRwoGY,4,44,52,climate,0
2017-10-27,06:35:21,jrockstrom,Johan Rockström,"Bad. But Expected In only Nation with Syria, now that Nicaragua signed Paris - E.P.A. Cancels Talk on Climate Change  https://nyti.ms/2h0VSiO ",0,9,6,climate,0
2017-10-10,06:45:45,jrockstrom,Johan Rockström,"Scientifically unacceptable - we all share same climate facing tipping points, economic selfdefeat, moral collapse  https://www.nytimes.com/2017/10/09/climate/clean-power-plan.html …",2,119,115,climate,0
2017-09-07,10:07:18,jrockstrom,Johan Rockström,Unfettered economic growth & climate vulnerability - Excellent oped by my colleague @owengaffney in @newscientist -  http://ow.ly/dxM630eYpJp  pic.twitter.com/PsLybPQyzh,0,18,23,climate,0
2017-08-08,12:50:55,jrockstrom,Johan Rockström,Science report to US Government Report Finds Drastic Impact of climate change. Will Trump suppress the truth?  https://www.nytimes.com/2017/08/07/climate/climate-change-drastic-warming-trump.html?smprod=nytcore-ipad&smid=nytcore-ipad-share …,6,39,45,climate,0
2017-08-02,19:22:54,jrockstrom,Johan Rockström,"Suicides of nearly 60,000 Indian farmers linked to climate change, study claims  https://www.theguardian.com/environment/2017/jul/31/suicides-of-nearly-60000-indian-farmers-linked-to-climate-change-study-claims?CMP=share_btn_tw …",1,44,24,climate,0
2017-07-26,21:33:47,jrockstrom,Johan Rockström,Max Planck Institute study shows shock heatwaves due to climate change could make Middle East 'uninhabitable'  http://cnb.cx/26SG0Ss ,4,102,57,climate,0
2017-07-21,07:06:02,jrockstrom,Johan Rockström,"Joel Clement, Arctic climate scientist, planet hero, blowing the whistle on the Trump administration.  http://wapo.st/2uArELe?tid=ss_tw&utm_term=.9fb96c174263 …",1,68,79,climate,0
2017-07-16,12:24:36,jrockstrom,Johan Rockström,"Double Wammy of climate change induced maize collapse in China & US equal to 50 % of global production, a real risk.  https://www.theguardian.com/environment/2017/jul/15/climate-change-food-famine-study?CMP=share_btn_tw …",3,48,35,climate,0
2017-07-01,12:44:42,jrockstrom,Johan Rockström,Clear that global warming drives extreme weather. Europe's extreme June heat clearly linked to climate change  https://www.theguardian.com/environment/2017/jun/30/europes-extreme-june-heat-clearly-linked-to-climate-change-research-shows?CMP=share_btn_tw …,10,93,66,climate,0
2017-06-19,17:19:47,jrockstrom,Johan Rockström,"We must accept, once and for all, we all share the same Climate system. Norway has big problems as CO2 exporters  https://www.arcticnow.com/arctic-news/2017/06/19/both-climate-leader-and-oil-giant-a-norwegian-paradox/ …",1,37,67,climate,0
2017-06-15,07:05:12,jrockstrom,Johan Rockström,"Global inter-linked climate, ocean, and fish crisis requires sustainable stewardship NOW   https://www.theguardian.com/environment/2017/jun/15/marine-expert-warns-of-climate-emergency-as-fish-abandon-tropical-waters?CMP=share_btn_tw …",1,40,30,climate,0
2017-06-01,22:31:38,jrockstrom,Johan Rockström,Goodbye US. We will miss you. You no longer deserve leadership role in the world by egoistically dumping our climate  https://nyti.ms/2rv52tR ,9,305,439,climate,0
2017-05-17,08:59:40,jrockstrom,Johan Rockström,No manageable Climate future within Paris 2 C global limit without nature based solutions and ecosystem resilience   http://ndcpartnership.org/sites/default/files/NDCP_Expert_Perspectives_SRC_Climate_Action_v5.pdf …,1,32,35,climate,0
2017-05-11,10:23:18,jrockstrom,Johan Rockström,"US under Trump going backwards into dark past, but streak of light as Senate Keeps an ObamaEra Climate Rule @nytimes  https://www.nytimes.com/2017/05/10/us/politics/regulations-methane-climate-change.html?smprod=nytcore-ipad&smid=nytcore-ipad-share …",0,8,14,climate,0
2017-04-20,12:53:29,jrockstrom,Johan Rockström,Scientists made a detailed “roadmap” for meeting the Paris climate goals. It’s eye-opening.  http://www.vox.com/energy-and-environment/2017/3/23/15028480/roadmap-paris-climate-goals?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom,1,38,37,climate,0
2017-04-19,16:48:29,jrockstrom,Johan Rockström,Will the US leave the Paris climate agreement? Probably not. But who cares? It is the US itself who will lose  http://edition.cnn.com/2017/04/17/opinions/trump-paris-climate-agreement-sachs/index.html …,2,51,82,climate,0
2017-04-11,17:02:07,jrockstrom,Johan Rockström,Future climate forcing potentially without precedent in the last 420 million years  http://www.nature.com/articles/ncomms14845 …,2,29,24,climate,0
2017-03-21,19:11:18,jrockstrom,Johan Rockström,Don't get cheated by massive Trumpian Bias. Americans worry about human induced climate change & want CO2 reductions  https://nyti.ms/2nvppW0 ,3,87,85,climate,0
2017-03-07,18:15:47,jrockstrom,Johan Rockström,New report: Climate change impact on Australia may be irreversible with major social and economic costs.   https://www.theguardian.com/environment/2017/mar/07/climate-change-impact-australia-may-be-irreversible-report?CMP=share_btn_tw …,1,29,17,climate,0
2017-02-18,01:14:25,jrockstrom,Johan Rockström,"Pruitt - No Regulation & Climate Denier - to run EPA. Do patriotic, rights loving conservative Americans want this?   http://politi.co/2lf9uaZ ",1,20,14,climate,0
2017-02-10,16:34:58,jrockstrom,Johan Rockström,"You cannot negotiate with the planet, which means, whatever Trump does, the Climate will have the last word  http://www.yaleclimateconnections.org/2017/02/the-state-of-the-climate-in-2016/ …",2,161,131,climate,0
2017-02-04,07:39:39,jrockstrom,Johan Rockström,Sweden Mocking Trump? Of course not!! Climate law emerging fr feministic & responsible government is what you expect  https://www.theguardian.com/environment/2017/feb/03/sweden-criticises-us-climate-stance-as-it-reveals-ambitious-carbon-emissions-law?CMP=share_btn_tw …,0,58,145,climate,0
2017-01-25,07:31:11,jrockstrom,Johan Rockström,"Remember, on Climate US is the exception not the rule. The new narrative? Decarbonization for innovation jobs growth  http://us9.campaign-archive1.com/?u=76c36fc06021998c0283a1dac&id=a85a429e57&e=fa3885a426 …",0,21,30,climate,0
2016-12-29,18:57:55,jrockstrom,Johan Rockström,Exxon's Tillerson holds the position that climate science dictates carbon tax. Lets hope he stays strong under trump  http://www.nytimes.com/2016/12/28/business/energy-environment/rex-tillerson-secretary-of-state-exxon.html?smprod=nytcore-ipad&smid=nytcore-ipad-share …,2,12,18,climate,0
2016-12-06,07:52:56,jrockstrom,Johan Rockström,When Earth takes over. Scientists have long feared this 'feedback' to the climate system. Now it may be happening  http://wpo.st/5jeJ2 ,1,121,67,climate,0
2016-11-25,12:34:38,jrockstrom,Johan Rockström,The burning question: Climate change in the era of Trump  http://econ.st/2g79iaz  via @TheEconomist,2,34,26,climate,0
2016-11-24,07:55:19,jrockstrom,Johan Rockström,Trump to scrap Nasa climate science and Earth observations. A disaster for science and humanity that we need to halt  https://www.theguardian.com/environment/2016/nov/22/nasa-earth-donald-trump-eliminate-climate-change-research?CMP=share_btn_tw …,4,117,54,climate,0
2016-11-07,06:18:08,jrockstrom,Johan Rockström,His denial on Climate Change alone disqualifies Trump as President of the world's 2nd largest emitter of GHGs  http://www.newyorker.com/news/news-desk/trump-and-the-truth-climate-change-denial …,3,112,146,climate,0
2016-10-29,12:40:06,jrockstrom,Johan Rockström,Check out Livestream from DBU German Environment Prize Symposium on how to deliver om Paris Climate Agreement  https://www.dbu.de/umweltpreis ,0,3,7,climate,0
2016-10-18,07:55:36,jrockstrom,Johan Rockström,Climate Progress and the Transformation of Global Commons in the Anthropocene  http://nyti.ms/2edSTBm  via @dotearth,0,9,11,climate,0
2016-08-03,09:04:33,jrockstrom,Johan Rockström,Another key state-of-art update on our planetary climate crisis. Nothing but global decarbonisation path can save us  http://www.noaa.gov/international-report-confirms-earth-hot-and-getting-hotter …,1,40,25,climate,0
2016-07-02,12:43:51,jrockstrom,Johan Rockström,"Black day for Humanity. If Sweden & Germany cannot phase out Coal - the two best pupils in global climate class, what real chance for Paris?",6,128,75,climate,0
2016-07-02,12:24:06,jrockstrom,Johan Rockström,Sweden violates legally binding Paris Climate agreem by Backing Sale of German Coal Mines to Czech Group   http://abcn.ws/297sQHk  via @ABC,2,47,18,climate,0
2016-07-02,11:15:11,jrockstrom,Johan Rockström,EPH is betting on the failure of European policies and the Paris Climate Agreement. A terrible decision #vattenfall  http://reut.rs/29c5VxL ,5,85,17,climate,0
2016-07-01,13:52:56,jrockstrom,Johan Rockström,Is Climate Change Making Conflict Worse?  http://www.triplepundit.com/2016/06/climate-change-making-conflict-worse/ …,1,5,5,climate,0
2016-06-10,18:19:56,jrockstrom,Johan Rockström,"Beside global climate crisis, another reason to be really worried over Big Coal. Can Sweden really trust EPH?  http://nyti.ms/1TYQKFO ",0,7,5,climate,0
2016-06-08,19:24:18,jrockstrom,Johan Rockström,Is phasing out Swedish Coal in Germany a global tipping point to unlock Paris Climate deal?   http://www.huffingtonpost.com/johan-rockstrom/do-sweden-and-germany-hol_b_10351896.html … via @HuffPostGreen,1,39,19,climate,0
2016-05-23,21:28:03,jrockstrom,Johan Rockström,Do not miss the most important Climate Science Talk of All with John Schellnhuber  http://www.stockholmresilience.org/news--events/seminar-and-events/stockholm-seminars/previous-seminars/2016/ss-2016/2016-05-20-the-nonlinearity-of-the-climate-challenge.html … (via Stockholm Resilience Centre),1,6,5,climate,0
2016-05-20,08:22:54,jrockstrom,Johan Rockström,If in Stockholm 25 May be sure to come & listen to Prof Schellnhuber on why & what needed to avoid climate disaster.  https://twitter.com/sthlmresilience/status/733542397720723459 …,0,10,15,climate,0
2016-04-24,14:55:28,jrockstrom,Johan Rockström,British health system 'unprepared for devastating effects of climate change' & this on top of food effects @EATforum http://gu.com/p/4tx4m/stw ,1,5,5,climate,0
2016-04-22,08:44:24,jrockstrom,Johan Rockström,Was 2015 a global social tipping point? Key Evidence today when US & China signs Paris Climate Agreement on #EarthDay with > 150 countries,0,11,6,climate,0
2016-04-12,03:02:32,jrockstrom,Johan Rockström,Disastrous effects of Human induced Climate Change + El Nino now for all to see in worlds Coral Reefs Depressing...   http://nyti.ms/1S9MZBI ,0,29,7,climate,0
2016-03-30,14:11:00,jrockstrom,Johan Rockström,Livestock holds major potential for mitigating climate change - 2016 - IIASA:  http://www.iiasa.ac.at/web/home/about/news/160322-ncc-livestock.html#.Vvu8YafDMLI.twitter …,0,9,11,climate,0
2016-03-28,12:20:20,jrockstrom,Johan Rockström,"Again, early indications of risk & need for precaution are verified. Fracking/CH4 path to climate crisis @thenation  http://www.thenation.com/article/global-warming-terrifying-new-chemistry/ …",3,24,8,climate,0
2016-03-22,21:46:05,jrockstrom,Johan Rockström,Important to realize that catastrophic climate tipping points cannot be excluded as shown by Jim Hansen et al.  http://nyti.ms/1RcooKq ,3,28,13,climate,0
2016-03-21,07:32:32,jrockstrom,Johan Rockström,Bill McKibben arrested for implementing Paris Climate. Phasing out natural gas a must in US for 1.5 C planet future  http://nyti.ms/25c2woj ,2,35,12,climate,0
2016-03-07,07:47:11,jrockstrom,Johan Rockström,My recent article with colleagues from @PIK_Climate on why crop water management is a largely underrated approach  https://twitter.com/sthlmresilience/status/706731760835567616 …,0,7,5,climate,0
2016-03-03,13:28:42,jrockstrom,Johan Rockström,New key Lancet paper supports @EAT cause: More than half a million could die as climate change impacts diet – report  http://gu.com/p/4h8ah/stw ,3,10,11,climate,0
